month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2019,Villages at Roll Hill,31,11,0,20,231.17,465.09,2348,847,1244,487,48,3.17,0.710743802,0.410982508,2.77,1,218364,692213.88,279984.18,0.404476403,13910,0.063700976,0.879159887,0,0,0,0,0,0,0,0,0,0,0
1,2019,Walnut Hills,31,11,0,20,231.17,465.09,6368,3492,1070,513,163,3.17,0.452176403,0.7327332,1.799605842,0.69,592224,1877350.08,734377.11,0.3911775,12127.44,0.020477792,1.144388492,0,0,0,0,0,0,0,0,0,0,0
1,2019,West End,31,11,0,20,231.17,465.09,6695,3532.019985,1595.908956,1087.643967,210.5988157,3.17,0.363444591,0.744639173,1.909876027,1,622635,1973752.95,597033.038,0.302486204,33754.31236,0.054212038,1.101337415,0,0,0,0,0,0,0,0,0,0,0
1,2019,West Price Hill,31,11,0,20,231.17,465.09,18343,7664.524854,5121.964782,2655.326325,847.0986757,3.17,0.237111692,0.852876947,2.387708663,1,1705899,5407699.83,845230.5936,0.156301315,91063.05003,0.053381267,1.062559529,0,0,0,0,0,0,0,0,0,0,0
1,2019,Westwood,31,11,0,20,231.17,465.09,32316,14259.45688,8629.008023,4229.561882,1379.361984,3.17,0.223270087,0.84579064,2.254729236,1,3005388,9527079.96,1480711.769,0.155421365,145832.0205,0.048523525,1.04973553,0,0,0,0,0,0,0,0,0,0,0
1,2019,Winton Hills,31,11,0,20,231.17,465.09,6008,2268,3018,1748,402,3.17,0.547619048,0.548176713,2.65,1,558744,1771218.48,577641.78,0.32612678,55900,0.100045817,0.97434931,0,0,0,0,0,0,0,0,0,0,0
1,2020,Avondale,31,13,0,18,120.07,241.69,12719,5968,3390,1896,515,3.33,0.358746649,0.698973421,1.999154336,1,1182867,3938947.11,517458.29,0.131369697,56417.4,0.047695472,0.87803859,12303.67717,0.010401573,0,0,0,0,0,0,0,0,0.010401573
1,2020,Bond Hill,31,13,0,18,120.07,241.69,7276,3243,1799,1169,149,3.33,0.134443417,0.864866589,2.200033454,1,676668,2253304.44,105376.84,0.046765469,30841.2,0.045578038,0.957210097,34995.875,0.05171794,0,0,0,0,0,0,0,0,0.05171794
1,2020,California,31,13,0,18,120.07,241.69,930.8790896,329.3826458,241.5704125,113.1493599,52.40967283,3.33,0,0.971241403,2.8,0.13,86571.75533,288283.9453,0,0,503.6305775,0.005817493,0.977058896,0,0,0,0,0,0,0,0,0,0,0
1,2020,Camp Washington,31,13,0,18,120.07,241.69,1128,412,112,33,24,3.33,0.191747573,0.893005193,1.9,1,104904,349330.32,19093.51,0.054657466,1333.8,0.012714482,0.96037714,2022,0.019274765,0,0,0,0,0,0,0,0,0.019274765
